,en,trans,de,en_idiom,Wrong
0,Could you please pass this request on to the Presidency ., Could you please forward this question to the Presidency .,Könnten Sie diese Frage bitte an den Ratsvorsitz weiterleiten .,to pass on,
1,"You may be forbidden to pass it on , and you are almost certainly prevented from improving it .", You may be prohibited from sharing them . And you will most likely be prevented from upgrading them .,"Es ist Ihnen vielleicht verboten , sie weiterzugeben . Und Sie werden höchstwahrscheinlich daran gehindert , sie zu verbessern .",to pass on,
2,I should like to thank everyone who has helped and I trust we shall pull together over the coming weeks and months in order to carry out the work in hand .," I think we can say thank you to everyone who helped out here , and I hope that we can work together well over the coming weeks and months on the tasks ahead of us .","Ich glaube , man darf hier allen , die mitgeholfen haben , Dankeschön sagen , und ich hoffe bei diesen Aufgaben , die vor uns liegen , auf gute Zusammenarbeit in den nächsten Wochen und Monaten .",to pull together,
3,"I will pass on your appreciation to my colleague , Gay Mitchell .", I will convey your words of appreciation to Gay Mitchell .,Ich werde Ihre anerkennenden Worte an Gay Mitchell übermitteln .,to pass on,
4,"That is why our group is calling for the Conference of Presidents &apos; decision to be reviewed and for the debate that we must hold on the Gaza situation to end in a resolution , one that demonstrates the clear and firm position of this House , of a majority , so that the massacres in Gaza stop ."," That is why our group demands that the decision of the Conference of Presidents be reconsidered and that our debate on the situation in Gaza culminate in a resolution, a resolution that shows the clear and determined position of this Parliament , a majority , so that the massacres stop in Gaza. We want a resolution .","Darum fordert unsere Fraktion , dass die Entscheidung der Konferenz der Präsidenten noch einmal überprüft wird und dass unsere Aussprache über die Lage in Gaza in einer Entschließung gipfelt , einer Entschließung , die die klare und entschlossene Position dieses Parlaments , einer Mehrheit , zeigt , damit die Massaker in Gaza aufhören . Wir wollen eine Entschließung .",to be on hold,
5,« Golden Pass » panorama railway section ; from Montreux on Lac Léman via Saanenmöser to the Thunersee ( Lake Thun ) and on to Luzern .," ""Golden Pass"" panoramic railway line - journey from Montreux on Lake Geneva via Saanenmöser to Lake Thun and on to Lucerne.",Panorama-Bahnstrecke « Golden Pass » - Fahrt von Montreux am Genfersee über Saanenmöser an den Thunersee und weiter bis nach Luzern .,to pass on,
6,In front of this imposing background it was Bender &apos;s wish to match the grandstands with the festive setting for the more than 1900 visitors per event . Now people have a good view as well as a comfortable seat on the tribunes .,"In front of this impressive backdrop, it was particularly important to Bender GmbH that the grandstands match the festive setting and that the more than 1,900 visitors per event find space in the grandstands, comfortably and with a good view.","Vor dieser beeindruckenden Kulisse war es der Bender GmbH ein besonderes Anliegen , dass die Tribünen dem festlichen Rahmen entsprechen und die über 1900 Besucher pro Veranstaltung gut , bequem und mit guter Sicht auf den Tribünen Platz finden .",have a seat .,
7,This is a commitment from Commissioner McCreevy that I am happy to pass on to you .," This is a firm commitment from Commissioner McCreevy , which I am happy to inform you of .","Dies ist eine verbindliche Zusage von Kommissar McCreevy , von der ich Sie hiermit gern in Kenntnis setze .",to pass on,
8,"Once we have gained experience of them for ourselves we can pass them on to others so they , too , can enjoy the same benefits ."," Once we have experienced them ourselves , we can pass them on to others so that they too can benefit from them .","Haben wir selbst einmal Erfahrung in ihnen gewonnen , können wir sie anderen weitergeben , damit auch sie den gleichen Nutzen daraus ziehen .",to pass on,
9,"At this point , I would like to pass on immediately , and turn to the Council , because I have been able to negotiate with the Commission often enough in the last few months , and I make it clear that I am no longer speaking as chairperson of the committee , but on behalf of my group , the Party of European Socialists ."," At this point I would like to go straight ahead and turn to the Council, because I have been able to negotiate with the Commission often enough in recent months, and I would like to make it clear that I no longer speak as the chairman of the committee, but for my group , for the social democrats in Europe .","An dieser Stelle möchte ich dann auch sofort übergehen und mich an den Rat wenden , denn mit der Kommission habe ich oft genug in den letzten Monaten verhandeln dürfen , und ich mache deutlich , daß ich nicht mehr als Vorsitzende des Ausschusses spreche , sondern für meine Fraktion , für die Sozialdemokraten in Europa .",to pass on,
