,en,de,en_idiom,de_idiom,en_task,de_translation_t5
0,Could you please pass this request on to the Presidency .,Könnten Sie diese Frage bitte an den Ratsvorsitz weiterleiten .,to pass on,das zeitliche segnen,translate to german: Could you please pass this request on to the Presidency .,<pad> Können Sie diesen Antrag bitte an die Präsidentschaft weiterleiten?</s> <pad> <pad> <pad>
1,"You may be forbidden to pass it on , and you are almost certainly prevented from improving it .","Es ist Ihnen vielleicht verboten , sie weiterzugeben . Und Sie werden höchstwahrscheinlich daran gehindert , sie zu verbessern .",to pass on,das zeitliche segnen,"translate to german: You may be forbidden to pass it on , and you are almost certainly prevented from improving it .","<pad> Vielleicht ist es Ihnen verboten, es weiterzuleiten, und"
2,I should like to thank everyone who has helped and I trust we shall pull together over the coming weeks and months in order to carry out the work in hand .,"Ich glaube , man darf hier allen , die mitgeholfen haben , Dankeschön sagen , und ich hoffe bei diesen Aufgaben , die vor uns liegen , auf gute Zusammenarbeit in den nächsten Wochen und Monaten .",to pull together,am gleichen strang ziehen,translate to german: I should like to thank everyone who has helped and I trust we shall pull together over the coming weeks and months in order to carry out the work in hand .,"<pad> Ich möchte allen danken, die geholfen haben, und ich hoffe"
3,"I will pass on your appreciation to my colleague , Gay Mitchell .",Ich werde Ihre anerkennenden Worte an Gay Mitchell übermitteln .,to pass on,das zeitliche segnen,"translate to german: I will pass on your appreciation to my colleague , Gay Mitchell .",<pad> Ich werde meinem Kollegen Gay Mitchell Ihre Anerkennung übermitteln.</s> <pad> <pad>
4,"That is why our group is calling for the Conference of Presidents &apos; decision to be reviewed and for the debate that we must hold on the Gaza situation to end in a resolution , one that demonstrates the clear and firm position of this House , of a majority , so that the massacres in Gaza stop .","Darum fordert unsere Fraktion , dass die Entscheidung der Konferenz der Präsidenten noch einmal überprüft wird und dass unsere Aussprache über die Lage in Gaza in einer Entschließung gipfelt , einer Entschließung , die die klare und entschlossene Position dieses Parlaments , einer Mehrheit , zeigt , damit die Massaker in Gaza aufhören . Wir wollen eine Entschließung .",to be on hold,auf eis liegen,"translate to german: That is why our group is calling for the Conference of Presidents &apos; decision to be reviewed and for the debate that we must hold on the Gaza situation to end in a resolution , one that demonstrates the clear and firm position of this House , of a majority , so that the massacres in Gaza stop .",<pad> Deshalb fordert unsere Fraktion die Überprüfung der Entscheidung der Konferenz der Präsidenten
5,« Golden Pass » panorama railway section ; from Montreux on Lac Léman via Saanenmöser to the Thunersee ( Lake Thun ) and on to Luzern .,Panorama-Bahnstrecke « Golden Pass » - Fahrt von Montreux am Genfersee über Saanenmöser an den Thunersee und weiter bis nach Luzern .,to pass on,das zeitliche segnen,translate to german: « Golden Pass » panorama railway section ; from Montreux on Lac Léman via Saanenmöser to the Thunersee ( Lake Thun ) and on to Luzern .,<pad> « Golden Pass » Panoramabahnstrecke ; von Montreux am Lac Léman über
6,In front of this imposing background it was Bender &apos;s wish to match the grandstands with the festive setting for the more than 1900 visitors per event . Now people have a good view as well as a comfortable seat on the tribunes .,"Vor dieser beeindruckenden Kulisse war es der Bender GmbH ein besonderes Anliegen , dass die Tribünen dem festlichen Rahmen entsprechen und die über 1900 Besucher pro Veranstaltung gut , bequem und mit guter Sicht auf den Tribünen Platz finden .",have a seat .,setzen sie sich !,translate to german: In front of this imposing background it was Bender &apos;s wish to match the grandstands with the festive setting for the more than 1900 visitors per event . Now people have a good view as well as a comfortable seat on the tribunes .,"<pad> Vor diesem imposanten Hintergrund war es Benders Bestreben,"
7,This is a commitment from Commissioner McCreevy that I am happy to pass on to you .,"Dies ist eine verbindliche Zusage von Kommissar McCreevy , von der ich Sie hiermit gern in Kenntnis setze .",to pass on,das zeitliche segnen,translate to german: This is a commitment from Commissioner McCreevy that I am happy to pass on to you .,"<pad> Das ist eine Verpflichtung von Kommissar McCreevy, die ich Ihnen gerne"
8,"Once we have gained experience of them for ourselves we can pass them on to others so they , too , can enjoy the same benefits .","Haben wir selbst einmal Erfahrung in ihnen gewonnen , können wir sie anderen weitergeben , damit auch sie den gleichen Nutzen daraus ziehen .",to pass on,das zeitliche segnen,"translate to german: Once we have gained experience of them for ourselves we can pass them on to others so they , too , can enjoy the same benefits .","<pad> Sobald wir uns selbst mit ihnen vertraut gemacht haben, können wir sie an andere weitergeben"
9,"At this point , I would like to pass on immediately , and turn to the Council , because I have been able to negotiate with the Commission often enough in the last few months , and I make it clear that I am no longer speaking as chairperson of the committee , but on behalf of my group , the Party of European Socialists .","An dieser Stelle möchte ich dann auch sofort übergehen und mich an den Rat wenden , denn mit der Kommission habe ich oft genug in den letzten Monaten verhandeln dürfen , und ich mache deutlich , daß ich nicht mehr als Vorsitzende des Ausschusses spreche , sondern für meine Fraktion , für die Sozialdemokraten in Europa .",to pass on,das zeitliche segnen,"translate to german: At this point , I would like to pass on immediately , and turn to the Council , because I have been able to negotiate with the Commission often enough in the last few months , and I make it clear that I am no longer speaking as chairperson of the committee , but on behalf of my group , the Party of European Socialists .","<pad> An dieser Stelle möchte ich sofort weitergeben und mich an den Rat wenden, denn"
10,"From the poetic swing of the reminiscing “ You Will Know When You Get There ” to the swinging poetry of “ The Fly ” ( with words by William Blake ) , from Spoken Word-Grooves like “ Ta Question ” to elegiac ballads like “ Amber Tears ” or “ J ’ aime l ’ idée ” , from the African sounds of “ Kanakassi ” and “ K ’ la ” , inspired by appearances in Uganda the year before last , to a kaleidoscope of jazzy nuances .","Vom poetischen Swing des reminiszierenden “ You Will Know When You Get There ” zur swingenden Poesie von “ The Fly ” ( mit einem Text von William Blake ) , von Spoken Word-Grooves wie “ Ta Question ” zu elegischen Balladen wie “ Amber Tears ” oder “ J ’ aime l ’ idée ” , von den afrikanischen Klängen von “ Kanakassi ” und “ K ’ la ” - inspiriert von Auftritten in Uganda - , zu den vielseitigsten jazzigen Zwischentönen .",to fly by,( wie ) im flug vergehen,"translate to german: From the poetic swing of the reminiscing “ You Will Know When You Get There ” to the swinging poetry of “ The Fly ” ( with words by William Blake ) , from Spoken Word-Grooves like “ Ta Question ” to elegiac ballads like “ Amber Tears ” or “ J ’ aime l ’ idée ” , from the African sounds of “ Kanakassi ” and “ K ’ la ” , inspired by appearances in Uganda the year before last , to a kaleidoscope of jazzy nuances .",<pad> From the poetic swing of the reminiscing “ You Will Know When You Get
11,"It is great to wake up on a morning , pick up your own ski pass at reception and hit * Dolomiti Superski with its * 1200 km of pistes and * 12 different ski carousels all available with just * 1 ticket .","Es ist durchaus erfreulich , am Morgen aufzuwachen , an der Rezeption den eigenen Skipass zu holen und mit * 1 Karte * 1200 km Pisten in * 12 verschiedenen Skikarousellen * Dolomiti Superski zu durchfahren .",to pass on,das zeitliche segnen,"translate to german: It is great to wake up on a morning , pick up your own ski pass at reception and hit * Dolomiti Superski with its * 1200 km of pistes and * 12 different ski carousels all available with just * 1 ticket .","<pad> Es ist großartig, am Morgen aufzuwachen, an der Rezeption Ihren"
12,We will not pass on your email address to a third party .,Wir werden Ihre eMail-Adresse nicht an Dritte weitergeben .,to pass on,das zeitliche segnen,translate to german: We will not pass on your email address to a third party .,<pad> Wir werden Ihre E-Mail-Adresse nicht an Dritte weitergeben.</s> <pad> <pad> <pad> <pad>
13,"Therefore , if mercury is earmarked as a priority hazardous substance , it will be impossible to extract any natural gas in future .","Wenn Quecksilber somit als prioritärer gefährlicher Stoff eingestuft wird , wird man kein Erdgas mehr fördern dürfen .",to be a gas,zum brüllen sein,"translate to german: Therefore , if mercury is earmarked as a priority hazardous substance , it will be impossible to extract any natural gas in future .",<pad> Wenn also Quecksilber als prioritäres gefährliches Substan
