,en,de,en_idiom,de_idiom,en_task,de_translation_t5,de_translation_t5_trained
0,Could you please pass this request on to the Presidency .,Könnten Sie diese Frage bitte an den Ratsvorsitz weiterleiten .,to pass on,das zeitliche segnen,translate to german: Could you please pass this request on to the Presidency .,<pad> Können Sie diesen Antrag bitte an die Präsidentschaft weiterleiten?</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>,<pad> Könnten Sie diese Frage bitte an den Ratsvorsitz weiterleiten.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
1,"You may be forbidden to pass it on , and you are almost certainly prevented from improving it .","Es ist Ihnen vielleicht verboten , sie weiterzugeben . Und Sie werden höchstwahrscheinlich daran gehindert , sie zu verbessern .",to pass on,das zeitliche segnen,"translate to german: You may be forbidden to pass it on , and you are almost certainly prevented from improving it .","<pad> Vielleicht ist es Ihnen verboten, es weiterzugeben, und es ist fast sicher daran gehindert, es zu verbessern.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>","<pad> Es ist Ihnen vielleicht verboten, sie weiterzugeben. Und Sie werden höchstwahrscheinlich daran gehindert, sie zu verbessern.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
2,I should like to thank everyone who has helped and I trust we shall pull together over the coming weeks and months in order to carry out the work in hand .,"Ich glaube , man darf hier allen , die mitgeholfen haben , Dankeschön sagen , und ich hoffe bei diesen Aufgaben , die vor uns liegen , auf gute Zusammenarbeit in den nächsten Wochen und Monaten .",to pull together,am gleichen strang ziehen,translate to german: I should like to thank everyone who has helped and I trust we shall pull together over the coming weeks and months in order to carry out the work in hand .,"<pad> Ich möchte allen danken, die geholfen haben, und ich vertraue darauf, dass wir uns in den kommenden Wochen und Monaten zusammenschließen werden, um die Arbeit zu leisten.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>","<pad> Ich möchte allen danken, die mitgeholfen haben, und ich hoffe bei dieser Arbeit, die vor uns liegt, auf gute Zusammenarbeit in den nächsten Wochen und Monaten.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
3,"I will pass on your appreciation to my colleague , Gay Mitchell .",Ich werde Ihre anerkennenden Worte an Gay Mitchell übermitteln .,to pass on,das zeitliche segnen,"translate to german: I will pass on your appreciation to my colleague , Gay Mitchell .",<pad> Ich werde meinem Kollegen Gay Mitchell Ihre Anerkennung übermitteln.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>,<pad> Ich werde Ihre Anerkennung an Gay Mitchell übermitteln.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
4,"That is why our group is calling for the Conference of Presidents &apos; decision to be reviewed and for the debate that we must hold on the Gaza situation to end in a resolution , one that demonstrates the clear and firm position of this House , of a majority , so that the massacres in Gaza stop .","Darum fordert unsere Fraktion , dass die Entscheidung der Konferenz der Präsidenten noch einmal überprüft wird und dass unsere Aussprache über die Lage in Gaza in einer Entschließung gipfelt , einer Entschließung , die die klare und entschlossene Position dieses Parlaments , einer Mehrheit , zeigt , damit die Massaker in Gaza aufhören . Wir wollen eine Entschließung .",to be on hold,auf eis liegen,"translate to german: That is why our group is calling for the Conference of Presidents &apos; decision to be reviewed and for the debate that we must hold on the Gaza situation to end in a resolution , one that demonstrates the clear and firm position of this House , of a majority , so that the massacres in Gaza stop .","<pad> Deshalb fordert unsere Fraktion, dass die Entscheidung der Konferenz der Präsidenten überprüft wird und dass die Debatte, die wir über die Lage in Gaza führen müssen, in einer Entschließung beendet wird, die die klare und entschiedene Position dieses Hauses, einer Mehrheit, zeigt, damit die Massaker in Gaza aufhören.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>","<pad> Aus diesem Grund fordert unsere Fraktion, dass die Entscheidung der Konferenz der Präsidenten noch einmal überprüft wird und dass unsere Aussprache über die Lage in Gaza in einer Entschließung gipfelt, einer Entschließung, die die klare und entschiedene Position dieses Parlaments, einer Mehrheit, zeigt, damit die Massaker in Gaza aufhören.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
5,« Golden Pass » panorama railway section ; from Montreux on Lac Léman via Saanenmöser to the Thunersee ( Lake Thun ) and on to Luzern .,Panorama-Bahnstrecke « Golden Pass » - Fahrt von Montreux am Genfersee über Saanenmöser an den Thunersee und weiter bis nach Luzern .,to pass on,das zeitliche segnen,translate to german: « Golden Pass » panorama railway section ; from Montreux on Lac Léman via Saanenmöser to the Thunersee ( Lake Thun ) and on to Luzern .,<pad> « Golden Pass » panorama railway section ; from Montreux on Lac Léman via Saanenmöser to the Thunersee ( Lake Thun ) and on to Luzern.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>,<pad> Panorama-Bahnstrecke « Golden Pass » - Fahrt von Montreux am Genfersee über Saanenmöser an den Thunersee und weiter bis nach Luzern.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
6,In front of this imposing background it was Bender &apos;s wish to match the grandstands with the festive setting for the more than 1900 visitors per event . Now people have a good view as well as a comfortable seat on the tribunes .,"Vor dieser beeindruckenden Kulisse war es der Bender GmbH ein besonderes Anliegen , dass die Tribünen dem festlichen Rahmen entsprechen und die über 1900 Besucher pro Veranstaltung gut , bequem und mit guter Sicht auf den Tribünen Platz finden .",have a seat .,setzen sie sich !,translate to german: In front of this imposing background it was Bender &apos;s wish to match the grandstands with the festive setting for the more than 1900 visitors per event . Now people have a good view as well as a comfortable seat on the tribunes .,"<pad> Vor diesem imposanten Hintergrund war es Benders Wunsch, die Grandstands mit dem festlichen Rahmen für mehr als 1900 Besucher pro Veranstaltung zu verbinden.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>","<pad> Vor dieser beeindruckenden Kulisse war es der Bender GmbH ein besonderes Anliegen, dass die Tribünen dem festlichen Rahmen entsprechen und die über 1900 Besucher pro Veranstaltung gut, bequem und mit guter Sicht auf den Tribünen Platz finden.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
7,This is a commitment from Commissioner McCreevy that I am happy to pass on to you .,"Dies ist eine verbindliche Zusage von Kommissar McCreevy , von der ich Sie hiermit gern in Kenntnis setze .",to pass on,das zeitliche segnen,translate to german: This is a commitment from Commissioner McCreevy that I am happy to pass on to you .,"<pad> Das ist eine Verpflichtung von Kommissar McCreevy, die ich Ihnen gerne übermitteln möchte.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>","<pad> Das ist eine verbindliche Zusage von Kommissar McCreevy, von der ich Sie hiermit gerne in Kenntnis setze.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
8,"Once we have gained experience of them for ourselves we can pass them on to others so they , too , can enjoy the same benefits .","Haben wir selbst einmal Erfahrung in ihnen gewonnen , können wir sie anderen weitergeben , damit auch sie den gleichen Nutzen daraus ziehen .",to pass on,das zeitliche segnen,"translate to german: Once we have gained experience of them for ourselves we can pass them on to others so they , too , can enjoy the same benefits .","<pad> Nachdem wir uns selbst mit ihnen vertraut gemacht haben, können wir sie an andere weitergeben, damit auch sie die gleichen Vorteile genießen können.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>","<pad> Wenn wir selbst einmal Erfahrung in ihnen gewonnen haben, können wir sie anderen weitergeben, damit auch sie den gleichen Nutzen daraus ziehen.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
9,"At this point , I would like to pass on immediately , and turn to the Council , because I have been able to negotiate with the Commission often enough in the last few months , and I make it clear that I am no longer speaking as chairperson of the committee , but on behalf of my group , the Party of European Socialists .","An dieser Stelle möchte ich dann auch sofort übergehen und mich an den Rat wenden , denn mit der Kommission habe ich oft genug in den letzten Monaten verhandeln dürfen , und ich mache deutlich , daß ich nicht mehr als Vorsitzende des Ausschusses spreche , sondern für meine Fraktion , für die Sozialdemokraten in Europa .",to pass on,das zeitliche segnen,"translate to german: At this point , I would like to pass on immediately , and turn to the Council , because I have been able to negotiate with the Commission often enough in the last few months , and I make it clear that I am no longer speaking as chairperson of the committee , but on behalf of my group , the Party of European Socialists .","<pad> An dieser Stelle möchte ich sofort weitergeben und mich an den Rat wenden, weil ich in den letzten Monaten oft genug mit der Kommission verhandeln konnte, und ich möchte klarstellen, dass ich nicht mehr als Vorsitzender des Ausschusses spreche, sondern im Namen meiner Fraktion, der Sozialdemokratischen Partei Europas.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>","<pad> Ich möchte an dieser Stelle sofort übergehen und mich an den Rat wenden, denn mit der Kommission habe ich oft genug in den letzten Monaten verhandeln können, und ich mache deutlich, daß ich nicht mehr als Vorsitzende des Ausschusses spreche, sondern für meine Fraktion, für die Sozialdemokraten in Europa.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
