,en,de,en_task
0,"In this day and age , when evidently many find the money and the means to come to Europe and seek asylum , asylum procedures must be strict and straightforward .","In einer Zeit wie dieser , in der viele offensichtlich die Mittel und Wege finden , um nach Europa zu gelangen und um Asyl nachzusuchen , müssen Asylverfahren sachlich und strikt sein .","translate English to German: In this day and age , when evidently many find the money and the means to come to Europe and seek asylum , asylum procedures must be strict and straightforward ."
1,"In Romania , the election campaign will be a chance to hold discussions on interesting issues concerning the European Union : the future of the EU , the Constitutional Treaty , the next enlargement , internal reform , the efficiency of the European institutions , free access to the labour market .","In Rumänien wird der Wahlkampf die Chance bieten , wichtige Fragen über die Europäische Union zu erörtern , z. B. die Zukunft der EU , den Verfassungsvertrag , die nächste Erweiterung , die interne Reform , die Effizienz der EU-Organe , den freien Zugang zum Arbeitsmarkt .","translate English to German: In Romania , the election campaign will be a chance to hold discussions on interesting issues concerning the European Union : the future of the EU , the Constitutional Treaty , the next enlargement , internal reform , the efficiency of the European institutions , free access to the labour market ."
2,Let us work to close the back door to illegal immigration more effectively by offering legal opportunities to those wishing to settle here and integrating them properly in our society .,"Gemeinsam sollten wir wirksam die Schlupflöcher für die illegale Einwanderung schließen , indem wir denjenigen , die sich hier niederlassen wollen , legale Möglichkeiten bieten und sie ordnungsgemäß in unsere Gesellschaft integrieren .",translate English to German: Let us work to close the back door to illegal immigration more effectively by offering legal opportunities to those wishing to settle here and integrating them properly in our society .
3,"The region is easily reached by rail ( international fast trains , expresses and INTERCITY and EUROCITY trains stop at Olomouc and Přerov , from which it is easy to take trains to other towns .","Das Gebiet ist mit der Eisenbahn erreichbar , internationale Schnellzüge , Intercity- und Eurocityzüge fahren nach „ Olomouc “ und „ Přerov “ , von hier aus kommen Sie per Eisenbahn zu anderen Örtlichkeiten . Aus Ostrava oder Prag kommen Sie leicht mit dem Zug SuperCity ( Pendolino ) nach Olomouc .","translate English to German: The region is easily reached by rail ( international fast trains , expresses and INTERCITY and EUROCITY trains stop at Olomouc and Přerov , from which it is easy to take trains to other towns ."
4,"I cannot enter into debate , but I pass on that information to you so that you know the reasoning .","Ich kann mich auf keine Diskussion einlassen , aber ich leite diese Informationen an Sie weiter , damit Sie die Gründe kennen .","translate English to German: I cannot enter into debate , but I pass on that information to you so that you know the reasoning ."
5,"Axarquia is a region with many things to see , places to go and small details to notice while taking a walk through this beautiful region .","Die Axarquia ist ein abwechslungsreiche Region und bietet viele Orte , die einen Besuch wert sind , um Ihre Ferien in Torrox zu geniessen .","translate English to German: Axarquia is a region with many things to see , places to go and small details to notice while taking a walk through this beautiful region ."
6,It is in Werner Otto &apos;s nature to be forward-looking and to always see the bigger picture .,"Es entspricht dem Naturell von Werner Otto , seinen Blick stets in die Zukunft zu richten und in großen Zusammenhängen zu denken .",translate English to German: It is in Werner Otto &apos;s nature to be forward-looking and to always see the bigger picture .
7,"At present , it is probably premature to pass overall judgment on the European Union ’ s keeping of this promise .",Es ist wahrscheinlich derzeit noch zu früh für ein umfassendes Urteil über die Einhaltung dieser Zusage durch die Europäische Union .,"translate English to German: At present , it is probably premature to pass overall judgment on the European Union ’ s keeping of this promise ."
8,"We need time to reflect , because what emerged in the heat of the moment is certainly worrying .","Wir brauchen Zeit zum Nachdenken , denn das , was in der Hitze des Augenblicks entstanden ist , beunruhigt uns wirklich .","translate English to German: We need time to reflect , because what emerged in the heat of the moment is certainly worrying ."
10,"On the other hand , it is clear that the best way to reduce the threat posed to nuclear installations , or any other installation , by the possibility of terrorists deliberately crashing an aircraft into them , is to make it impossible , or extremely improbable , that they may hijack a large commercial aircraft in the first place .","Auf der anderen Seite kann die Bedrohung für die kerntechnischen und anderen Anlagen durch die Möglichkeit , dass Terroristen gezielt ein Flugzeug gegen sie lenken , am besten reduziert werden , indem die Entführung eines großen kommerziellen Flugzeugs unmöglich oder höchst unwahrscheinlich gemacht wird .","translate English to German: On the other hand , it is clear that the best way to reduce the threat posed to nuclear installations , or any other installation , by the possibility of terrorists deliberately crashing an aircraft into them , is to make it impossible , or extremely improbable , that they may hijack a large commercial aircraft in the first place ."
