,en,de,en_idiom,en_task,existing_task
0,"In this day and age , when evidently many find the money and the means to come to Europe and seek asylum , asylum procedures must be strict and straightforward .","In einer Zeit wie dieser , in der viele offensichtlich die Mittel und Wege finden , um nach Europa zu gelangen und um Asyl nachzusuchen , müssen Asylverfahren sachlich und strikt sein .",in this day and age,"translate English to German: In this day and age , when evidently many find the money and the means to come to Europe and seek asylum , asylum procedures must be strict and straightforward .","<pad> In der heutigen Zeit, in der offensichtlich viele das Geld und die Mittel finden, um nach Europa zu kommen und Asyl zu suchen, müssen die Asylverfahren streng und einfach sein.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
1,"In Romania , the election campaign will be a chance to hold discussions on interesting issues concerning the European Union : the future of the EU , the Constitutional Treaty , the next enlargement , internal reform , the efficiency of the European institutions , free access to the labour market .","In Rumänien wird der Wahlkampf die Chance bieten , wichtige Fragen über die Europäische Union zu erörtern , z. B. die Zukunft der EU , den Verfassungsvertrag , die nächste Erweiterung , die interne Reform , die Effizienz der EU-Organe , den freien Zugang zum Arbeitsmarkt .",to be on hold,"translate English to German: In Romania , the election campaign will be a chance to hold discussions on interesting issues concerning the European Union : the future of the EU , the Constitutional Treaty , the next enlargement , internal reform , the efficiency of the European institutions , free access to the labour market .","<pad> In Rumänien wird der Wahlkampf eine Gelegenheit bieten, Diskussionen über interessante Themen zu führen, die die Europäische Union betreffen : die Zukunft der EU, den Verfassungsvertrag, die nächste Erweiterung, interne Reformen, die Effizienz der europäischen Institutionen, den freien Zugang zum Arbeitsmarkt.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
2,Let us work to close the back door to illegal immigration more effectively by offering legal opportunities to those wishing to settle here and integrating them properly in our society .,"Gemeinsam sollten wir wirksam die Schlupflöcher für die illegale Einwanderung schließen , indem wir denjenigen , die sich hier niederlassen wollen , legale Möglichkeiten bieten und sie ordnungsgemäß in unsere Gesellschaft integrieren .",to close the door,translate English to German: Let us work to close the back door to illegal immigration more effectively by offering legal opportunities to those wishing to settle here and integrating them properly in our society .,"<pad> Lassen Sie uns daran arbeiten, die Hintertür der illegalen Einwanderung effektiver zu verschließen, indem wir denjenigen, die sich hier niederlassen möchten, rechtliche Möglichkeiten bieten und sie ordnungsgemäß in unsere Gesellschaft einbeziehen.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
3,"The region is easily reached by rail ( international fast trains , expresses and INTERCITY and EUROCITY trains stop at Olomouc and Přerov , from which it is easy to take trains to other towns .","Das Gebiet ist mit der Eisenbahn erreichbar , internationale Schnellzüge , Intercity- und Eurocityzüge fahren nach „ Olomouc “ und „ Přerov “ , von hier aus kommen Sie per Eisenbahn zu anderen Örtlichkeiten . Aus Ostrava oder Prag kommen Sie leicht mit dem Zug SuperCity ( Pendolino ) nach Olomouc .",to take it easy,"translate English to German: The region is easily reached by rail ( international fast trains , expresses and INTERCITY and EUROCITY trains stop at Olomouc and Přerov , from which it is easy to take trains to other towns .","<pad> Die Region ist leicht mit der Bahn erreichbar ( internationale Schnellzüge, Expresse, INTERCITY und EUROCITY fahren in Olomouc und P<unk> erov an, von denen es leicht ist, Züge in andere Städte zu nehmen.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
4,"I cannot enter into debate , but I pass on that information to you so that you know the reasoning .","Ich kann mich auf keine Diskussion einlassen , aber ich leite diese Informationen an Sie weiter , damit Sie die Gründe kennen .",to pass on,"translate English to German: I cannot enter into debate , but I pass on that information to you so that you know the reasoning .","<pad> Ich kann nicht in die Debatte eintreten, aber ich übermittele Ihnen diese Informationen, damit Sie die Argumentation kennen.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
5,"Axarquia is a region with many things to see , places to go and small details to notice while taking a walk through this beautiful region .","Die Axarquia ist ein abwechslungsreiche Region und bietet viele Orte , die einen Besuch wert sind , um Ihre Ferien in Torrox zu geniessen .",to go places,"translate English to German: Axarquia is a region with many things to see , places to go and small details to notice while taking a walk through this beautiful region .","<pad> Axarquia ist eine Region mit vielen Dingen zu sehen, Orte zu gehen und kleine Details zu bemerken, während Sie einen Spaziergang durch diese schöne Region machen.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
6,It is in Werner Otto 's nature to be forward-looking and to always see the bigger picture .,"Es entspricht dem Naturell von Werner Otto , seinen Blick stets in die Zukunft zu richten und in großen Zusammenhängen zu denken .",to be in the picture,translate English to German: It is in Werner Otto 's nature to be forward-looking and to always see the bigger picture .,"<pad> Es ist in Werner Ottos Natur, zukunftsweisend zu sein und immer das größere Bild zu sehen.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
7,"At present , it is probably premature to pass overall judgment on the European Union ’ s keeping of this promise .",Es ist wahrscheinlich derzeit noch zu früh für ein umfassendes Urteil über die Einhaltung dieser Zusage durch die Europäische Union .,to pass on,"translate English to German: At present , it is probably premature to pass overall judgment on the European Union ’ s keeping of this promise .","<pad> Gegenwärtig ist es wahrscheinlich verfrüht, ein allgemeines Urteil über die Einhaltung dieses Versprechens durch die Europäische Union abzugeben.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
8,"We need time to reflect , because what emerged in the heat of the moment is certainly worrying .","Wir brauchen Zeit zum Nachdenken , denn das , was in der Hitze des Augenblicks entstanden ist , beunruhigt uns wirklich .",in the heat of the moment,"translate English to German: We need time to reflect , because what emerged in the heat of the moment is certainly worrying .","<pad> Wir brauchen Zeit, um nachzudenken, denn das, was in der Hitze des Augenblicks entstanden ist, ist sicherlich beunruhigend.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
10,"On the other hand , it is clear that the best way to reduce the threat posed to nuclear installations , or any other installation , by the possibility of terrorists deliberately crashing an aircraft into them , is to make it impossible , or extremely improbable , that they may hijack a large commercial aircraft in the first place .","Auf der anderen Seite kann die Bedrohung für die kerntechnischen und anderen Anlagen durch die Möglichkeit , dass Terroristen gezielt ein Flugzeug gegen sie lenken , am besten reduziert werden , indem die Entführung eines großen kommerziellen Flugzeugs unmöglich oder höchst unwahrscheinlich gemacht wird .",to clear the way,"translate English to German: On the other hand , it is clear that the best way to reduce the threat posed to nuclear installations , or any other installation , by the possibility of terrorists deliberately crashing an aircraft into them , is to make it impossible , or extremely improbable , that they may hijack a large commercial aircraft in the first place .","<pad> Andererseits ist es klar, dass der beste Weg, die Bedrohung für Atomanlagen oder jede andere Einrichtung durch die Möglichkeit, dass Terroristen ein Flugzeug absichtlich in sie stürzen, am besten zu verringern ist, es unmöglich oder äußerst unwahrscheinlich zu machen, dass sie in erster Linie ein großes Handelsflugzeug entführen können.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
