,en,de,en_idiom,en_task,idiom_task
0,"In this day and age , when evidently many find the money and the means to come to Europe and seek asylum , asylum procedures must be strict and straightforward .","In einer Zeit wie dieser , in der viele offensichtlich die Mittel und Wege finden , um nach Europa zu gelangen und um Asyl nachzusuchen , müssen Asylverfahren sachlich und strikt sein .",in this day and age,"translate English to German with idiom: In this day and age , when evidently many find the money and the means to come to Europe and seek asylum , asylum procedures must be strict and straightforward .","<pad> Idiom: In dieser Zeit, in der offensichtlich viele das Geld und die Mittel finden, um nach Europa zu kommen und Asyl zu suchen, müssen die Asylverfahren streng und einfach sein.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
1,"In Romania , the election campaign will be a chance to hold discussions on interesting issues concerning the European Union : the future of the EU , the Constitutional Treaty , the next enlargement , internal reform , the efficiency of the European institutions , free access to the labour market .","In Rumänien wird der Wahlkampf die Chance bieten , wichtige Fragen über die Europäische Union zu erörtern , z. B. die Zukunft der EU , den Verfassungsvertrag , die nächste Erweiterung , die interne Reform , die Effizienz der EU-Organe , den freien Zugang zum Arbeitsmarkt .",to be on hold,"translate English to German with idiom: In Romania , the election campaign will be a chance to hold discussions on interesting issues concerning the European Union : the future of the EU , the Constitutional Treaty , the next enlargement , internal reform , the efficiency of the European institutions , free access to the labour market .","<pad> Idiom: In Rumänien wird der Wahlkampf eine Gelegenheit sein, über interessante Themen zu diskutieren, die die Europäische Union betreffen : die Zukunft der EU, den Verfassungsvertrag, die nächste Erweiterung, interne Reformen, die Effizienz der europäischen Institutionen, den freien Zugang zum Arbeitsmarkt.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
2,Let us work to close the back door to illegal immigration more effectively by offering legal opportunities to those wishing to settle here and integrating them properly in our society .,"Gemeinsam sollten wir wirksam die Schlupflöcher für die illegale Einwanderung schließen , indem wir denjenigen , die sich hier niederlassen wollen , legale Möglichkeiten bieten und sie ordnungsgemäß in unsere Gesellschaft integrieren .",to close the door,translate English to German with idiom: Let us work to close the back door to illegal immigration more effectively by offering legal opportunities to those wishing to settle here and integrating them properly in our society .,"<pad> Idiom: Wir sollten daran arbeiten, die Hintertür für illegale Einwanderung effektiver zu schließen, indem wir denjenigen rechtliche Möglichkeiten bieten, die sich hier niederlassen möchten, und sie ordnungsgemäß in unsere Gesellschaft einbeziehen.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
3,"The region is easily reached by rail ( international fast trains , expresses and INTERCITY and EUROCITY trains stop at Olomouc and Přerov , from which it is easy to take trains to other towns .","Das Gebiet ist mit der Eisenbahn erreichbar , internationale Schnellzüge , Intercity- und Eurocityzüge fahren nach „ Olomouc “ und „ Přerov “ , von hier aus kommen Sie per Eisenbahn zu anderen Örtlichkeiten . Aus Ostrava oder Prag kommen Sie leicht mit dem Zug SuperCity ( Pendolino ) nach Olomouc .",to take it easy,"translate English to German with idiom: The region is easily reached by rail ( international fast trains , expresses and INTERCITY and EUROCITY trains stop at Olomouc and Přerov , from which it is easy to take trains to other towns .",<pad> Idiom: Die Region ist leicht mit der Schiene erreichbar.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
4,"I cannot enter into debate , but I pass on that information to you so that you know the reasoning .","Ich kann mich auf keine Diskussion einlassen , aber ich leite diese Informationen an Sie weiter , damit Sie die Gründe kennen .",to pass on,"translate English to German with idiom: I cannot enter into debate , but I pass on that information to you so that you know the reasoning .","<pad> Idiom: Ich kann nicht in die Debatte eintreten, aber ich übermittele Ihnen diese Informationen, damit Sie die Argumentation kennen.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
5,"Axarquia is a region with many things to see , places to go and small details to notice while taking a walk through this beautiful region .","Die Axarquia ist ein abwechslungsreiche Region und bietet viele Orte , die einen Besuch wert sind , um Ihre Ferien in Torrox zu geniessen .",to go places,"translate English to German with idiom: Axarquia is a region with many things to see , places to go and small details to notice while taking a walk through this beautiful region .","<pad> Idiom: Axarquia ist eine Region mit vielen Sehenswürdigkeiten, Orten und kleinen Details, die Sie bei einem Spaziergang durch diese schöne Region entdecken können.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
6,It is in Werner Otto 's nature to be forward-looking and to always see the bigger picture .,"Es entspricht dem Naturell von Werner Otto , seinen Blick stets in die Zukunft zu richten und in großen Zusammenhängen zu denken .",to be in the picture,translate English to German with idiom: It is in Werner Otto 's nature to be forward-looking and to always see the bigger picture .,"<pad> Idiom: Es ist in Werner Ottos Natur, vorausschauend zu sein und immer das größere Bild zu sehen.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
7,"At present , it is probably premature to pass overall judgment on the European Union ’ s keeping of this promise .",Es ist wahrscheinlich derzeit noch zu früh für ein umfassendes Urteil über die Einhaltung dieser Zusage durch die Europäische Union .,to pass on,"translate English to German with idiom: At present , it is probably premature to pass overall judgment on the European Union ’ s keeping of this promise .","<pad> Idiom: Gegenwärtig ist es wahrscheinlich verfrüht, über die Einhaltung dieses Versprechens durch die Europäische Union insgesamt zu beurteilen.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
8,"We need time to reflect , because what emerged in the heat of the moment is certainly worrying .","Wir brauchen Zeit zum Nachdenken , denn das , was in der Hitze des Augenblicks entstanden ist , beunruhigt uns wirklich .",in the heat of the moment,"translate English to German with idiom: We need time to reflect , because what emerged in the heat of the moment is certainly worrying .","<pad> Idiom: Wir brauchen Zeit, um nachzudenken, denn das, was im Moment herausgekommen ist, ist sicherlich besorgniserregend.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
10,"On the other hand , it is clear that the best way to reduce the threat posed to nuclear installations , or any other installation , by the possibility of terrorists deliberately crashing an aircraft into them , is to make it impossible , or extremely improbable , that they may hijack a large commercial aircraft in the first place .","Auf der anderen Seite kann die Bedrohung für die kerntechnischen und anderen Anlagen durch die Möglichkeit , dass Terroristen gezielt ein Flugzeug gegen sie lenken , am besten reduziert werden , indem die Entführung eines großen kommerziellen Flugzeugs unmöglich oder höchst unwahrscheinlich gemacht wird .",to clear the way,"translate English to German with idiom: On the other hand , it is clear that the best way to reduce the threat posed to nuclear installations , or any other installation , by the possibility of terrorists deliberately crashing an aircraft into them , is to make it impossible , or extremely improbable , that they may hijack a large commercial aircraft in the first place .","<pad> Idiom: Andererseits ist es klar, dass der beste Weg, die Bedrohung für Kernanlagen, oder jede andere Einrichtung, durch die Möglichkeit terroristischer Abstürze eines Flugzeugs in sie zu verringern, am besten zu verringern, ist es unmöglich, oder äußerst unwahrscheinlich, dass sie ein großes kommerzielles Flugzeug in die Luft entführen.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
